{'股票名称': 'RC001202001'}
{'股票名称': 'R004201010'}
{'股票名称': 'R028201003'}
{'股票名称': '0512R028203041'}
{'股票名称': '0504R028203017'}
{'股票名称': 'GC004204004'}
{'最高': '100.00', '最低': '99.99', '今开': '100.00', '昨收': '100.00', '成交额': '83.03万', '成交量': '83手', '净值': '--', '折价率': '--', '股票名称': '嘉实快线511960'}
{'今开': '112.88', '成交量': '3.49万手', '最高': '114.00', '涨停': '125.20', '内盘': '1.76万手', '成交额': '3.93亿', '委比': '21.84%', '流通市值': '138.11亿', '市盈率<sup>MRQ</sup>': '35.75', '每股收益': '2.38', '总股本': '12.16亿', '昨收': '113.82', '换手率': '2.87%', '最低': '111.75', '跌停': '102.44', '外盘': '1.74万手', '振幅': '1.98%', '量比': '--', '总市值': '1380.78亿', '市净率': '14.49', '每股净资产': '7.84', '流通股本': '1.22亿', '股票名称': '迈瑞医疗300760'}
{'今开': '19.38', '成交量': '8.45万手', '最高': '20.00', '涨停': '21.40', '内盘': '3.39万手', '成交额': '1.67亿', '委比': '38.40%', '流通市值': '59.67亿', '市盈率<sup>MRQ</sup>': '153.36', '每股收益': '0.10', '总股本': '3.18亿', '昨收': '19.45', '换手率': '2.82%', '最低': '19.38', '跌停': '17.51', '外盘': '5.06万手', '振幅': '3.19%', '量比': '--', '总市值': '63.26亿', '市净率': '8.54', '每股净资产': '2.33', '流通股本': '3.00亿', '股票名称': '光弘科技300735'}
{'今开': '13.75', '成交量': '2.13万手', '最高': '14.07', '涨停': '15.13', '内盘': '9580手', '成交额': '2965.72万', '委比': '14.43%', '流通市值': '9.52亿', '市盈率<sup>MRQ</sup>': '28.88', '每股收益': '0.36', '总股本': '1.60亿', '昨收': '13.75', '换手率': '3.14%', '最低': '13.62', '跌停': '12.38', '外盘': '1.17万手', '振幅': '3.27%', '量比': '--', '总市值': '22.45亿', '市净率': '1.99', '每股净资产': '7.06', '流通股本': '6783.75万', '股票名称': '西菱动力300733'}
{'今开': '34.12', '成交量': '1.82万手', '最高': '34.37', '涨停': '37.53', '内盘': '8434手', '成交额': '6220.41万', '委比': '74.93%', '流通市值': '28.97亿', '市盈率<sup>MRQ</sup>': '20.16', '每股收益': '1.35', '总股本': '1.37亿', '昨收': '34.12', '换手率': '2.16%', '最低': '33.80', '跌停': '30.71', '外盘': '9805手', '振幅': '1.67%', '量比': '--', '总市值': '47.09亿', '市净率': '2.66', '每股净资产': '12.90', '流通股本': '8432.63万', '股票名称': '设研院300732'}
{'今开': '22.20', '成交量': '1.85万手', '最高': '22.80', '涨停': '24.43', '内盘': '8542手', '成交额': '4177.34万', '委比': '69.83%', '流通市值': '13.30亿', '市盈率<sup>MRQ</sup>': '36.53', '每股收益': '0.46', '总股本': '8721.74万', '昨收': '22.21', '换手率': '3.16%', '最低': '22.15', '跌停': '19.99', '外盘': '9996手', '振幅': '2.93%', '量比': '--', '总市值': '19.75亿', '市净率': '3.98', '每股净资产': '5.69', '流通股本': '5873.17万', '股票名称': '科创新源300731'}
{'今开': '21.90', '成交量': '1.29万手', '最高': '22.60', '涨停': '24.05', '内盘': '4820手', '成交额': '2847.72万', '委比': '52.99%', '流通市值': '72.70亿', '市盈率<sup>MRQ</sup>': '48.36', '每股收益': '0.35', '总股本': '6.01亿', '昨收': '21.86', '换手率': '0.40%', '最低': '21.83', '跌停': '19.67', '外盘': '8036手', '振幅': '3.52%', '量比': '--', '总市值': '134.28亿', '市净率': '4.32', '每股净资产': '5.17', '流通股本': '3.25亿', '股票名称': '乐歌股份300729'}
{'今开': '17.05', '成交量': '5.22万手', '最高': '17.88', '涨停': '18.75', '内盘': '2.16万手', '成交额': '9143.75万', '委比': '15.20%', '流通市值': '19.29亿', '市盈率<sup>MRQ</sup>': '30.01', '每股收益': '0.44', '总股本': '4.00亿', '昨收': '17.05', '换手率': '4.81%', '最低': '17.00', '跌停': '15.34', '外盘': '3.06万手', '振幅': '5.16%', '量比': '--', '总市值': '71.18亿', '市净率': '4.72', '每股净资产': '3.77', '流通股本': '1.08亿', '股票名称': '宏达电子300726'}
{'今开': '67.51', '成交量': '1.08万手', '最高': '68.00', '涨停': '74.79', '内盘': '5321手', '成交额': '7291.36万', '委比': '74.36%', '流通市值': '44.62亿', '市盈率<sup>MRQ</sup>': '59.50', '每股收益': '0.85', '总股本': '1.10亿', '昨收': '67.99', '换手率': '1.64%', '最低': '66.82', '跌停': '61.19', '外盘': '5480手', '振幅': '1.74%', '量比': '--', '总市值': '74.58亿', '市净率': '13.28', '每股净资产': '5.11', '流通股本': '6581.41万', '股票名称': '药石科技300725'}
{'今开': '34.50', '成交量': '3.51万手', '最高': '35.22', '涨停': '38.03', '内盘': '1.79万手', '成交额': '1.21亿', '委比': '34.50%', '流通市值': '27.85亿', '市盈率<sup>MRQ</sup>': '31.98', '每股收益': '0.82', '总股本': '3.20亿', '昨收': '34.57', '换手率': '4.39%', '最低': '34.02', '跌停': '31.11', '外盘': '1.72万手', '振幅': '3.47%', '量比': '--', '总市值': '111.39亿', '市净率': '5.10', '每股净资产': '6.82', '流通股本': '8000.00万', '股票名称': '捷佳伟创300724'}
{'今开': '30.23', '成交量': '1.29万手', '最高': '31.27', '涨停': '33.31', '内盘': '5518手', '成交额': '3978.32万', '委比': '46.36%', '流通市值': '137.49亿', '市盈率<sup>MRQ</sup>': '46.89', '每股收益': '0.50', '总股本': '5.38亿', '昨收': '30.28', '换手率': '0.29%', '最低': '30.23', '跌停': '27.25', '外盘': '7357手', '振幅': '3.43%', '量比': '--', '总市值': '167.88亿', '市净率': '5.69', '每股净资产': '5.48', '流通股本': '4.41亿', '股票名称': '新余国科300722'}
{'今开': '23.51', '成交量': '9678手', '最高': '24.05', '涨停': '25.86', '内盘': '4373手', '成交额': '2302.79万', '委比': '52.94%', '流通市值': '5.76亿', '市盈率<sup>MRQ</sup>': '43.86', '每股收益': '0.41', '总股本': '7200.00万', '昨收': '23.51', '换手率': '4.02%', '最低': '23.41', '跌停': '21.16', '外盘': '5305手', '振幅': '2.72%', '量比': '--', '总市值': '17.21亿', '市净率': '3.93', '每股净资产': '6.08', '流通股本': '2408.58万', '股票名称': '海川智能300720'}
{'今开': '15.53', '成交量': '2.08万手', '最高': '15.85', '涨停': '17.07', '内盘': '9569手', '成交额': '3264.35万', '委比': '5.70%', '流通市值': '7.78亿', '市盈率<sup>MRQ</sup>': '22.35', '每股收益': '0.53', '总股本': '1.98亿', '昨收': '15.52', '换手率': '4.20%', '最低': '15.50', '跌停': '13.97', '外盘': '1.12万手', '振幅': '2.26%', '量比': '--', '总市值': '31.13亿', '市净率': '2.87', '每股净资产': '5.47', '流通股本': '4950.00万', '股票名称': '长盛轴承300718'}
{'今开': '13.89', '成交量': '1.12万手', '最高': '14.14', '涨停': '15.16', '内盘': '4649手', '成交额': '1567.65万', '委比': '17.43%', '流通市值': '5.97亿', '市盈率<sup>MRQ</sup>': '30.47', '每股收益': '0.35', '总股本': '1.02亿', '昨收': '13.78', '换手率': '2.64%', '最低': '13.80', '跌停': '12.40', '外盘': '6550手', '振幅': '2.47%', '量比': '--', '总市值': '14.40亿', '市净率': '2.73', '每股净资产': '5.16', '流通股本': '4249.60万', '股票名称': '华信新材300717'}
{'今开': '10.50', '成交量': '1.42万手', '最高': '10.77', '涨停': '11.55', '内盘': '6468手', '成交额': '1518.37万', '委比': '27.62%', '流通市值': '9.36亿', '市盈率<sup>MRQ</sup>': '31.10', '每股收益': '0.26', '总股本': '1.60亿', '昨收': '10.50', '换手率': '1.63%', '最低': '10.50', '跌停': '9.45', '外盘': '7769手', '振幅': '2.57%', '量比': '--', '总市值': '17.17亿', '市净率': '2.11', '每股净资产': '5.09', '流通股本': '8727.00万', '股票名称': '国立科技300716'}
{'今开': '22.00', '成交量': '1.02万手', '最高': '22.25', '涨停': '24.20', '内盘': '4643手', '成交额': '2255.03万', '委比': '73.78%', '流通市值': '8.61亿', '市盈率<sup>MRQ</sup>': '53.96', '每股收益': '0.31', '总股本': '1.32亿', '昨收': '22.00', '换手率': '2.64%', '最低': '21.76', '跌停': '19.80', '外盘': '5568手', '振幅': '2.23%', '量比': '--', '总市值': '29.27亿', '市净率': '7.07', '每股净资产': '3.15', '流通股本': '3870.00万', '股票名称': '凯伦股份300715'}
{'今开': '20.36', '成交量': '1.04万手', '最高': '20.99', '涨停': '22.33', '内盘': '4923手', '成交额': '2162.05万', '委比': '2.44%', '流通市值': '6.87亿', '市盈率<sup>MRQ</sup>': '79.42', '每股收益': '0.20', '总股本': '6861.40万', '昨收': '20.30', '换手率': '3.17%', '最低': '20.20', '跌停': '18.27', '外盘': '5507手', '振幅': '3.89%', '量比': '--', '总市值': '14.34亿', '市净率': '2.49', '每股净资产': '8.39', '流通股本': '3286.25万', '股票名称': '万隆光电300710'}
{'今开': '17.51', '成交量': '4.56万手', '最高': '18.48', '涨停': '19.26', '内盘': '2.02万手', '成交额': '8227.42万', '委比': '43.68%', '流通市值': '8.20亿', '市盈率<sup>MRQ</sup>': '105.26', '每股收益': '0.13', '总股本': '1.44亿', '昨收': '17.51', '换手率': '10.08%', '最低': '17.44', '跌停': '15.76', '外盘': '2.53万手', '振幅': '5.94%', '量比': '--', '总市值': '26.14亿', '市净率': '4.65', '每股净资产': '3.90', '流通股本': '4520.70万', '股票名称': '广哈通信300711'}
{'今开': '9.52', '成交量': '5.42万手', '最高': '10.20', '涨停': '10.42', '内盘': '2.47万手', '成交额': '5431.58万', '委比': '6.75%', '流通市值': '6.79亿', '市盈率<sup>MRQ</sup>': '20.48', '每股收益': '0.37', '总股本': '1.71亿', '昨收': '9.47', '换手率': '8.04%', '最低': '9.52', '跌停': '8.52', '外盘': '2.95万手', '振幅': '7.18%', '量比': '--', '总市值': '17.20亿', '市净率': '1.55', '每股净资产': '6.49', '流通股本': '6735.73万', '股票名称': '聚灿光电300708'}
{'今开': '15.01', '成交量': '2.31万手', '最高': '15.75', '涨停': '16.68', '内盘': '1.08万手', '成交额': '3559.52万', '委比': '20.99%', '流通市值': '12.00亿', '市盈率<sup>MRQ</sup>': '22.76', '每股收益': '0.51', '总股本': '1.57亿', '昨收': '15.16', '换手率': '2.99%', '最低': '15.00', '跌停': '13.64', '外盘': '1.23万手', '振幅': '4.95%', '量比': '--', '总市值': '24.44亿', '市净率': '3.85', '每股净资产': '4.04', '流通股本': '7719.42万', '股票名称': '威唐工业300707'}
{'今开': '22.70', '成交量': '3.52万手', '最高': '24.73', '涨停': '24.73', '内盘': '2.57万手', '成交额': '8532.32万', '委比': '100.00%', '流通市值': '13.91亿', '市盈率<sup>MRQ</sup>': '97.60', '每股收益': '0.19', '总股本': '1.41亿', '昨收': '22.48', '换手率': '6.25%', '最低': '22.70', '跌停': '20.23', '外盘': '9427手', '振幅': '9.03%', '量比': '--', '总市值': '34.90亿', '市净率': '8.11', '每股净资产': '3.05', '流通股本': '5626.29万', '股票名称': '阿石创300706'}
{'今开': '27.25', '成交量': '2.27万手', '最高': '27.65', '涨停': '30.09', '内盘': '1.12万手', '成交额': '6170.64万', '委比': '19.82%', '流通市值': '14.36亿', '市盈率<sup>MRQ</sup>': '47.56', '每股收益': '0.43', '总股本': '1.82亿', '昨收': '27.35', '换手率': '4.34%', '最低': '26.81', '跌停': '24.61', '外盘': '1.15万手', '振幅': '3.07%', '量比': '--', '总市值': '50.01亿', '市净率': '3.69', '每股净资产': '7.45', '流通股本': '5225.57万', '股票名称': '天宇股份300702'}
{'今开': '31.22', '成交量': '1.49万手', '最高': '32.50', '涨停': '34.58', '内盘': '7111手', '成交额': '4807.79万', '委比': '57.97%', '流通市值': '7.33亿', '市盈率<sup>MRQ</sup>': '37.11', '每股收益': '0.65', '总股本': '8000.00万', '昨收': '31.44', '换手率': '6.59%', '最低': '31.16', '跌停': '28.30', '外盘': '7834手', '振幅': '4.26%', '量比': '--', '总市值': '25.86亿', '市净率': '5.63', '每股净资产': '5.74', '流通股本': '2268.14万', '股票名称': '森霸传感300701'}
{'今开': '20.81', '成交量': '2.72万手', '最高': '21.88', '涨停': '23.10', '内盘': '1.26万手', '成交额': '5773.98万', '委比': '53.04%', '流通市值': '9.49亿', '市盈率<sup>MRQ</sup>': '51.90', '每股收益': '0.41', '总股本': '8240.00万', '昨收': '21.00', '换手率': '6.13%', '最低': '20.64', '跌停': '18.90', '外盘': '1.45万手', '振幅': '5.90%', '量比': '--', '总市值': '17.65亿', '市净率': '3.25', '每股净资产': '6.58', '流通股本': '4430.75万', '股票名称': '岱勒新材300700'}
{'今开': '41.50', '成交量': '2.61万手', '最高': '42.50', '涨停': '45.94', '内盘': '1.34万手', '成交额': '1.09亿', '委比': '44.60%', '流通市值': '96.62亿', '市盈率<sup>MRQ</sup>': '37.59', '每股收益': '0.84', '总股本': '3.70亿', '昨收': '41.76', '换手率': '1.13%', '最低': '41.35', '跌停': '37.58', '外盘': '1.26万手', '振幅': '2.75%', '量比': '--', '总市值': '155.69亿', '市净率': '5.55', '每股净资产': '7.58', '流通股本': '2.30亿', '股票名称': '光威复材300699'}
{'今开': '21.35', '成交量': '1.08万手', '最高': '21.74', '涨停': '23.27', '内盘': '4638手', '成交额': '2328.22万', '委比': '14.36%', '流通市值': '10.60亿', '市盈率<sup>MRQ</sup>': '40.34', '每股收益': '0.40', '总股本': '1.17亿', '昨收': '21.15', '换手率': '2.20%', '最低': '21.18', '跌停': '19.04', '外盘': '6176手', '振幅': '2.65%', '量比': '--', '总市值': '25.27亿', '市净率': '3.48', '每股净资产': '6.20', '流通股本': '4917.97万', '股票名称': '爱乐达300696'}
{'今开': '56.20', '成交量': '4502手', '最高': '56.86', '涨停': '61.26', '内盘': '2148手', '成交额': '2537.07万', '委比': '50.62%', '流通市值': '9.44亿', '市盈率<sup>MRQ</sup>': '20.96', '每股收益': '2.03', '总股本': '6667.77万', '昨收': '55.69', '换手率': '2.70%', '最低': '55.20', '跌停': '50.12', '外盘': '2353手', '振幅': '2.98%', '量比': '--', '总市值': '37.76亿', '市净率': '2.27', '每股净资产': '24.94', '流通股本': '1667.77万', '股票名称': '兆丰股份300695'}
{'今开': '20.48', '成交量': '11.24万手', '最高': '20.97', '涨停': '22.66', '内盘': '6.03万手', '成交额': '2.32亿', '委比': '44.26%', '流通市值': '11.16亿', '市盈率<sup>MRQ</sup>': '41.16', '每股收益': '0.50', '总股本': '2.15亿', '昨收': '20.60', '换手率': '20.88%', '最低': '20.21', '跌停': '18.54', '外盘': '5.21万手', '振幅': '3.69%', '量比': '--', '总市值': '44.64亿', '市净率': '4.89', '每股净资产': '4.24', '流通股本': '5383.00万', '股票名称': '蠡湖股份300694'}
{'今开': '30.51', '成交量': '9717手', '最高': '31.42', '涨停': '33.86', '内盘': '4635手', '成交额': '3029.65万', '委比': '7.36%', '流通市值': '5.96亿', '市盈率<sup>MRQ</sup>': '42.63', '每股收益': '0.55', '总股本': '6800.00万', '昨收': '30.78', '换手率': '5.10%', '最低': '30.48', '跌停': '27.70', '外盘': '5082手', '振幅': '3.05%', '量比': '--', '总市值': '21.27亿', '市净率': '3.84', '每股净资产': '8.15', '流通股本': '1904.00万', '股票名称': '澄天伟业300689'}
{'今开': '36.92', '成交量': '1.72万手', '最高': '37.70', '涨停': '40.23', '内盘': '6839手', '成交额': '6382.26万', '委比': '51.31%', '流通市值': '63.73亿', '市盈率<sup>MRQ</sup>': '5.71', '每股收益': '4.93', '总股本': '1.70亿', '昨收': '36.57', '换手率': '1.01%', '最低': '36.35', '跌停': '32.91', '外盘': '1.03万手', '振幅': '3.69%', '量比': '--', '总市值': '63.79亿', '市净率': '1.24', '每股净资产': '30.14', '流通股本': '1.70亿', '股票名称': '创业黑马300688'}
{'今开': '36.87', '成交量': '15.49万手', '最高': '41.38', '涨停': '41.75', '内盘': '8.11万手', '成交额': '5.93亿', '委比': '74.64%', '流通市值': '23.12亿', '市盈率<sup>MRQ</sup>': '41.29', '每股收益': '0.69', '总股本': '1.58亿', '昨收': '37.95', '换手率': '25.26%', '最低': '36.65', '跌停': '34.16', '外盘': '7.38万手', '振幅': '12.46%', '量比': '--', '总市值': '59.39亿', '市净率': '9.13', '每股净资产': '4.13', '流通股本': '6132.60万', '股票名称': '中石科技300684'}
{'今开': '27.04', '成交量': '1.28万手', '最高': '27.54', '涨停': '30.00', '内盘': '6729手', '成交额': '3485.16万', '委比': '9.92%', '流通市值': '13.07亿', '市盈率<sup>MRQ</sup>': '28.03', '每股收益': '0.74', '总股本': '1.03亿', '昨收': '27.27', '换手率': '2.69%', '最低': '26.92', '跌停': '24.54', '外盘': '6050手', '振幅': '2.27%', '量比': '--', '总市值': '28.40亿', '市净率': '1.69', '每股净资产': '16.27', '流通股本': '4755.50万', '股票名称': '海特生物300683'}
{'今开': '16.99', '成交量': '1.75万手', '最高': '17.22', '涨停': '18.62', '内盘': '7084手', '成交额': '2980.17万', '委比': '27.65%', '流通市值': '28.08亿', '市盈率<sup>MRQ</sup>': '--', '每股收益': '0.25', '总股本': '4.32亿', '昨收': '16.93', '换手率': '1.07%', '最低': '16.70', '跌停': '15.24', '外盘': '1.04万手', '振幅': '3.07%', '量比': '--', '总市值': '73.82亿', '市净率': '6.65', '每股净资产': '2.57', '流通股本': '1.64亿', '股票名称': '朗新科技300682'}
{'今开': '16.18', '成交量': '1.27万手', '最高': '16.52', '涨停': '17.73', '内盘': '5316手', '成交额': '2079.35万', '委比': '5.75%', '流通市值': '5.82亿', '市盈率<sup>MRQ</sup>': '126.54', '每股收益': '0.10', '总股本': '7431.27万', '昨收': '16.12', '换手率': '3.61%', '最低': '15.98', '跌停': '14.51', '外盘': '7395手', '振幅': '3.35%', '量比': '--', '总市值': '12.27亿', '市净率': '2.34', '每股净资产': '7.06', '流通股本': '3523.27万', '股票名称': '隆盛科技300680'}
{'今开': '27.10', '成交量': '3.87万手', '最高': '28.94', '涨停': '29.66', '内盘': '1.81万手', '成交额': '1.09亿', '委比': '39.80%', '流通市值': '28.83亿', '市盈率<sup>MRQ</sup>': '22.96', '每股收益': '0.93', '总股本': '2.16亿', '昨收': '26.96', '换手率': '3.83%', '最低': '26.86', '跌停': '24.26', '外盘': '2.06万手', '振幅': '7.72%', '量比': '--', '总市值': '61.65亿', '市净率': '1.86', '每股净资产': '15.32', '流通股本': '1.01亿', '股票名称': '电连技术300679'}
{'今开': '18.55', '成交量': '4.00万手', '最高': '19.29', '涨停': '20.36', '内盘': '1.78万手', '成交额': '7586.07万', '委比': '31.71%', '流通市值': '16.01亿', '市盈率<sup>MRQ</sup>': '195.77', '每股收益': '0.07', '总股本': '1.80亿', '昨收': '18.51', '换手率': '4.80%', '最低': '18.42', '跌停': '16.66', '外盘': '2.22万手', '振幅': '4.70%', '量比': '--', '总市值': '34.58亿', '市净率': '6.49', '每股净资产': '2.96', '流通股本': '8331.98万', '股票名称': '中科信息300678'}
{'今开': '61.30', '成交量': '11.95万手', '最高': '67.28', '涨停': '67.28', '内盘': '6.80万手', '成交额': '7.79亿', '委比': '100.00%', '流通市值': '165.88亿', '市盈率<sup>MRQ</sup>': '63.06', '每股收益': '0.80', '总股本': '4.00亿', '昨收': '61.16', '换手率': '4.85%', '最低': '61.16', '跌停': '55.04', '外盘': '5.15万手', '振幅': '10.01%', '量比': '--', '总市值': '269.19亿', '市净率': '6.27', '每股净资产': '10.72', '流通股本': '2.47亿', '股票名称': '华大基因300676'}
{'今开': '15.98', '成交量': '3.41万手', '最高': '16.75', '涨停': '17.52', '内盘': '1.67万手', '成交额': '5561.05万', '委比': '46.30%', '流通市值': '17.95亿', '市盈率<sup>MRQ</sup>': '18.85', '每股收益': '0.66', '总股本': '1.96亿', '昨收': '15.93', '换手率': '3.13%', '最低': '15.90', '跌停': '14.34', '外盘': '1.74万手', '振幅': '5.34%', '量比': '--', '总市值': '32.37亿', '市净率': '2.67', '每股净资产': '6.17', '流通股本': '1.09亿', '股票名称': '英科医疗300677'}
{'今开': '28.02', '成交量': '9.56万手', '最高': '29.03', '涨停': '31.12', '内盘': '5.45万手', '成交额': '2.72亿', '委比': '91.27%', '流通市值': '11.40亿', '市盈率<sup>MRQ</sup>': '104.12', '每股收益': '0.23', '总股本': '4.00亿', '昨收': '28.29', '换手率': '23.89%', '最低': '27.80', '跌停': '25.46', '外盘': '4.11万手', '振幅': '4.35%', '量比': '--', '总市值': '114.00亿', '市净率': '8.12', '每股净资产': '3.51', '流通股本': '4001.00万', '股票名称': '宇信科技300674'}
{'今开': '43.30', '成交量': '1.76万手', '最高': '43.65', '涨停': '47.52', '内盘': '9194手', '成交额': '7587.05万', '委比': '19.82%', '流通市值': '28.42亿', '市盈率<sup>MRQ</sup>': '92.47', '每股收益': '0.39', '总股本': '6.56亿', '昨收': '43.20', '换手率': '2.68%', '最低': '42.70', '跌停': '38.88', '外盘': '8385手', '振幅': '2.20%', '量比': '--', '总市值': '284.18亿', '市净率': '11.48', '每股净资产': '3.77', '流通股本': '6563.00万', '股票名称': '佩蒂股份300673'}
{'今开': '41.04', '成交量': '1.41万手', '最高': '42.60', '涨停': '44.44', '内盘': '6550手', '成交额': '5905.42万', '委比': '40.35%', '流通市值': '148.78亿', '市盈率<sup>MRQ</sup>': '235.03', '每股收益': '0.13', '总股本': '3.58亿', '昨收': '40.40', '换手率': '0.39%', '最低': '40.58', '跌停': '36.36', '外盘': '7579手', '振幅': '5.00%', '量比': '--', '总市值': '148.78亿', '市净率': '11.80', '每股净资产': '3.52', '流通股本': '3.58亿', '股票名称': '国科微300672'}
